kampnr,runde,dag,dato,tid,raekke,pulje,hjemmehold,udehold,spillested,antal,tjans
,,Lør,03-10-26,9:00,U17,,,,Aalborg Katedralskole,5,H1
148638,2,Lør,10-10-26,10:00,2. Division Herrer,Nord,Aalborg Volleyball.3,VK Raptus.2,Aalborg Stadionhal 1,4,D1
148637,2,Lør,10-10-26,12:00,2. Division Herrer,Nord,Aalborg Volleyball.2,Silkeborg KFUM,Aalborg Stadionhal 1,4,D2
148188,2,Lør,10-10-26,14:30,1. Division Herrer,Vest,Aalborg Volleyball,VK Raptus,Aalborg Stadionhal 1,4,D3
149108,2,Lør,10-10-26,16:30,1. Division Kvinder,Vest,Aalborg Volleyball.2,Volleyball Esbjerg,Aalborg Stadionhal 1,4,H2
148818,2,Lør,10-10-26,18:30,2. Division Kvinder,Nord,Aalborg Volleyball.3,VK Raptus.2,Aalborg Stadionhal 1,4,H1
149194,1,Lør,17-10-26,14:30,Volleyligaen Kvinder,VLK,Aalborg Volleyball,DHV Odense,Aalborg Stadionhal 1,6,H3
148827,4,Fre,30-10-26,19:00,2. Division Kvinder,Nord,Aalborg Volleyball.3,VK Raptus,Aalborg Stadionhal 1,4,D1
148647,4,Fre,30-10-26,21:00,2. Division Herrer,Nord,Aalborg Volleyball.3,Skive FVK,Aalborg Stadionhal 1,4,H1
148646,4,Søn,01-11-26,10:00,2. Division Herrer,Nord,Aalborg Volleyball.2,VK Raptus.2,Aalborg Stadionhal 1,4,H3
148197,4,Søn,01-11-26,12:00,1. Division Herrer,Vest,Aalborg Volleyball,Bedsted KFUM,Aalborg Stadionhal 1,4,D3
149117,4,Søn,01-11-26,14:00,1. Division Kvinder,Vest,Aalborg Volleyball.2,Bedsted KFUM,Aalborg Stadionhal 1,4,H2
148833,5,Lør,07-11-26,10:00,2. Division Kvinder,Nord,Aalborg Volleyball.3,Holstebro KFUM,Aalborg Stadionhal 2,4,D1
148653,5,Lør,07-11-26,12:00,2. Division Herrer,Nord,Aalborg Volleyball.3,Aalborg Volleyball.2,Aalborg Stadionhal 2,4,H1
149247,12,Lør,07-11-26,14:30,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Holte IF,Aalborg Stadionhal 2,6,D2
149123,5,Lør,07-11-26,16:30,1. Division Kvinder,Vest,Aalborg Volleyball.2,Ikast KFUM.2,Aalborg Stadionhal 2,4,H3
148203,5,Lør,07-11-26,18:30,1. Division Herrer,Vest,Aalborg Volleyball,Ikast KFUM.2,Aalborg Stadionhal 2,4,H2
,,Lør,21-11-26,9:00,Kids/Teen,,,,Gigantium,5,D1
149219,6,Søn,29-11-26,13:00,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Hvidovre VK,Aalborg Stadionhal 1,6,H2
148663,7,Lør,05-12-26,10:00,2. Division Herrer,Nord,Aalborg Volleyball.2,VK Vendsyssel,Aalborg Stadionhal 1,4,D3
149279,18,Lør,05-12-26,12:30,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Ikast KFUM,Aalborg Stadionhal 1,6,D2
148850,8,Fre,11-12-26,18:30,2. Division Kvinder,Nord,Aalborg Volleyball.3,Hjerm FIF,Aalborg Katedralskole,4,H1
148670,8,Fre,11-12-26,20:30,2. Division Herrer,Nord,Aalborg Volleyball.3,SKF KFUM,Aalborg Katedralskole,4,D2
,,Lør,12-12-26,9:00,U17,,,,Aalborg Katedralskole,5,D2
148669,8,Søn,13-12-26,10:00,2. Division Herrer,Nord,Aalborg Volleyball.2,Aabyhøj IF,Aalborg Stadionhal 2,4,H3
148220,8,Søn,13-12-26,12:00,1. Division Herrer,Vest,Aalborg Volleyball,DHV Odense,Aalborg Stadionhal 2,4,D3
149140,8,Søn,13-12-26,14:00,1. Division Kvinder,Vest,Aalborg Volleyball.2,DHV Odense.2,Aalborg Stadionhal 2,4,H2
,,Lør,02-01-27,9:00,NM i Mix,,,,,5,Mix
148678,10,Lør,16-01-27,10:00,2. Division Herrer,Nord,Aalborg Volleyball.3,Silkeborg KFUM,Aalborg Stadionhal 1,4,H2
148858,10,Lør,16-01-27,11:00,2. Division Kvinder,Nord,Aalborg Volleyball.3,Randers VK,Aalborg Stadionhal 2,4,H1
149148,10,Lør,16-01-27,12:00,1. Division Kvinder,Vest,Aalborg Volleyball.2,Odense Volleyball,Aalborg Stadionhal 1,4,H3
148677,10,Lør,16-01-27,13:00,2. Division Herrer,Nord,Aalborg Volleyball.2,Skive FVK,Aalborg Stadionhal 2,4,D3
149225,7,Lør,16-01-27,14:30,Volleyligaen Kvinder,VLK,Aalborg Volleyball,ASV Elite,Aalborg Stadionhal 1,6,D2
148228,10,Lør,16-01-27,16:30,1. Division Herrer,Vest,Aalborg Volleyball,Randers VK,Aalborg Stadionhal 1,4,D1
,,Søn,17-01-27,9:00,U15,,,,Gigantium,5,D3
149273,17,Søn,24-01-27,13:00,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Team Køge,Aalborg Stadionhal 1,6,H1
148870,12,Lør,13-02-27,10:00,2. Division Kvinder,Nord,Aalborg Volleyball.3,VK Vendsyssel,Aalborg Stadionhal 1,4,D1
148690,12,Lør,13-02-27,12:00,2. Division Herrer,Nord,Aalborg Volleyball.3,VK Vendsyssel,Aalborg Stadionhal 1,4,H1
148689,12,Lør,13-02-27,14:30,2. Division Herrer,Nord,Aalborg Volleyball.2,IF Lyseng 2,Aalborg Stadionhal 1,4,D2
148240,12,Lør,13-02-27,16:30,1. Division Herrer,Vest,Aalborg Volleyball,Kolding VK,Aalborg Stadionhal 1,4,H3
149160,12,Lør,13-02-27,18:30,1. Division Kvinder,Vest,Aalborg Volleyball.2,SIK Viborg,Aalborg Stadionhal 1,4,H2
149237,10,Lør,20-02-27,13:00,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Farum VK,Aalborg Stadionhal 1,6,D2
149208,4,Søn,21-02-27,13:00,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Brøndby VK,Aalborg Stadionhal 1,6,D3
148698,14,Lør,13-03-27,13:30,2. Division Herrer,Nord,Aalborg Volleyball.2,Aalborg Volleyball.3,Aalborg Stadionhal 2,4,D3
149258,14,Lør,13-03-27,15:30,Volleyligaen Kvinder,VLK,Aalborg Volleyball,Gentofte Volley,Aalborg Stadionhal 2,6,H3
148704,15,Søn,21-03-27,10:00,2. Division Herrer,Nord,Aalborg Volleyball.3,Aabyhøj IF,Aalborg Stadionhal 1,4,H2
148884,15,Søn,21-03-27,11:00,2. Division Kvinder,Nord,Aalborg Volleyball.3,Aabyhøj IF,Aalborg Stadionhal 2,4,D2
148254,15,Søn,21-03-27,12:00,1. Division Herrer,Vest,Aalborg Volleyball,Nordenskov UIF.2,Aalborg Stadionhal 1,4,H3
148705,15,Søn,21-03-27,13:00,2. Division Herrer,Nord,Aalborg Volleyball.2,SKF KFUM,Aalborg Stadionhal 2,4,D3
149174,15,Søn,21-03-27,16:30,1. Division Kvinder,Vest,Aalborg Volleyball.2,DSIO Odense,Aalborg Stadionhal 1,4,D1
148707,16,Lør,03-04-27,10:00,2. Division Herrer,Nord,Aalborg Volleyball.3,ASV Aarhus.3,Aalborg Stadionhal 1,4,D1
148257,16,Lør,03-04-27,12:00,1. Division Herrer,Vest,Aalborg Volleyball,ASV Aarhus.2,Aalborg Stadionhal 1,4,D3
149177,16,Lør,03-04-27,16:30,1. Division Kvinder,Vest,Aalborg Volleyball.2,ASV Aarhus.2,Aalborg Stadionhal 1,4,H3
148887,16,Lør,03-04-27,18:30,2. Division Kvinder,Nord,Aalborg Volleyball.3,ASV Aarhus.3,Aalborg Stadionhal 1,4,H1
,,Søn,04-04-27,9:00,Kids/Teen,,,,Gigantium,5,H2
,,Søn,11-04-27,9:00,U15,,,,Gigantium,5,H3
148718,18,Fre,23-04-27,20:00,2. Division Herrer,Nord,Aalborg Volleyball.3,IF Lyseng 2,Aalborg Stadionhal 1,4,D1
148898,18,Lør,24-04-27,10:00,2. Division Kvinder,Nord,Aalborg Volleyball.3,Skovbakken,Aalborg Stadionhal 1,4,D2
148719,18,Lør,24-04-27,12:00,2. Division Herrer,Nord,Aalborg Volleyball.2,ASV Aarhus.3,Aalborg Stadionhal 1,4,H1
149188,18,Lør,24-04-27,14:30,1. Division Kvinder,Vest,Aalborg Volleyball.2,IF Lyseng,Aalborg Stadionhal 1,4,D1
148268,18,Lør,24-04-27,16:30,1. Division Herrer,Vest,Aalborg Volleyball,IF Lyseng,Aalborg Stadionhal 1,4,H2
